record_id,gem_category,ministry,state,estimated_value_lakh,num_bidders,bid_cv_pct,min_bid_time_gap_minutes,min_company_age_months,avg_company_age_months,num_shell_companies,has_shared_director,winning_bid_pct_of_estimate,deadline_days,is_split_tender,spec_bias_score,gem_verified_bidders,is_fraud,fraud_type,data_source
CAG-2024-007-3.2,Medical Equipment,Ministry of Health & Family Welfare,Uttar Pradesh,4520,3,1.2,28,4,5,2,1,98.7,18,0,42,1,1,bid_rigging+shell,CAG_REPORT_7_2024
CAG-2023-012-5.1,Civil/Construction,Ministry of Road Transport & Highways,Bihar,2870,1,0,99999,36,72,0,0,97.2,9,1,35,1,1,split_tendering,CAG_REPORT_12_2023
CAG-2023-003-2.4,Medical Equipment,Ministry of Defence,National,12730,1,0,99999,24,36,0,0,99.1,9,0,72,1,1,spec_bias+single_bid,CAG_REPORT_3_2023
CAG-2023-014-4.7,IT Hardware,Ministry of Education,Rajasthan,1845,4,1.8,47,3,4,2,1,98.9,14,0,28,2,1,shell+timing+bid_rigging,CAG_REPORT_14_2023
CAG-2024-009-6.3,Electrical Equipment,Ministry of Power,Madhya Pradesh,3200,5,2.1,12,5,8,3,1,97.8,21,0,31,2,1,cartel,CAG_REPORT_9_2024
GEM-CAL-00001,Civil/Construction,Ministry of Finance,Uttar Pradesh,985.22,6,7.56,3236.4,71,92,0,0,82.77,87,0,19.93,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00002,Electrical Equipment,Ministry of Defence,Rajasthan,12.96,7,14.58,40258.2,55,60,0,0,95.62,68,0,13.31,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00003,Medical Equipment,Ministry of Electronics & IT,Delhi,394.84,3,22.08,5159.6,112,146,0,0,88.43,10,0,13.31,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00004,IT Hardware,Ministry of Health & Family Welfare,Maharashtra,188.21,6,5.36,16298.1,105,141,0,0,84.52,79,0,24.98,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00005,Product/Stationery,Ministry of Finance,Delhi,3.59,5,14.87,584.8,34,40,0,0,97.65,38,0,14.17,4,1,front_running,GEM_CALIBRATED_2024
GEM-CAL-00006,Laboratory Equipment,Ministry of Defence,West Bengal,34.52,3,22.9,39137.7,14,36,0,0,95.21,84,0,13.93,3,0,none,GEM_CALIBRATED_2024
GEM-CAL-00007,Printing Services,Ministry of Electronics & IT,Uttar Pradesh,3.12,6,20.01,11887.0,69,79,0,0,92.24,87,0,18.66,6,0,none,GEM_CALIBRATED_2024
GEM-CAL-00008,Product/Stationery,Ministry of Defence,Others,1.83,9,22.81,5963.9,36,51,0,0,92.23,68,0,17.61,9,0,none,GEM_CALIBRATED_2024
GEM-CAL-00009,IT Hardware,Ministry of Agriculture,Delhi,37.22,7,18.66,23275.0,67,94,0,0,84.21,48,0,14.74,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00010,Product/Stationery,Ministry of Road Transport & Highways,Gujarat,2.13,9,18.48,15515.5,90,115,0,0,84.87,58,0,3.87,9,0,none,GEM_CALIBRATED_2024
GEM-CAL-00011,Security Services,Ministry of Housing & Urban Affairs,Rajasthan,7.97,7,11.47,12462.2,56,56,0,0,97.0,14,0,12.18,7,0,none,GEM_CALIBRATED_2024
GEM-CAL-00012,IT Hardware,Ministry of Railways,Maharashtra,71.67,5,15.97,12282.2,120,123,0,0,87.62,9,0,22.17,5,0,none,GEM_CALIBRATED_2024
GEM-CAL-00013,IT Services,Ministry of Road Transport & Highways,Karnataka,48.93,3,17.32,1608.0,45,76,0,0,97.69,31,0,69.9,2,1,spec_bias,GEM_CALIBRATED_2024
GEM-CAL-00014,IT Services,Ministry of Housing & Urban Affairs,Maharashtra,534.9,4,5.37,26909.0,111,114,0,0,84.08,42,0,15.72,4,0,none,GEM_CALIBRATED_2024
GEM-CAL-00015,Printing Services,Ministry of Agriculture,Tamil Nadu,6.12,6,9.41,17075.3,39,47,0,0,84.56,19,0,2.4,6,0,none,GEM_CALIBRATED_2024
